destination_port,protocol,flow_duration,total_fwd_packets,total_backward_packets,total_length_fwd_packets,total_length_bwd_packets,flow_bytes_per_s,flow_packets_per_s,fwd_packets_per_s,bwd_packets_per_s,min_packet_length,max_packet_length,packet_length_mean,packet_length_std,syn_flag_count,rst_flag_count,ack_flag_count,average_packet_size,down_up_ratio,label
80,6,110861755,26,26,616.0,768.0,12.4840166926818,0.4690526503030734,0.2345263251515367,0.2345263251515367,0.0,384.0,26.13207547169811,91.47930361475404,0,0,0,26.634615384615397,1.0,0
443,6,40335006,9,10,8.0,62.0,1.735465218475485,0.4710548450147745,0.2231312423754195,0.247923602639355,0.0,31.0,3.5500000000000003,9.400307945683704,0,0,0,3.736842105263158,1.0,0
0,0,113244633,56,0,0.0,0.0,0.0,0.494504671139691,0.494504671139691,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
80,6,95628949,21,20,20.0,0.0,0.2091416899290611,0.4287404643545753,0.219598774425514,0.2091416899290611,0.0,1.0,0.5000000000000001,0.5060608273474739,0,0,0,0.5121951219512195,0.0,0
80,6,95613243,21,20,20.0,0.0,0.2091760447870176,0.4288108918133861,0.2196348470263685,0.2091760447870176,0.0,1.0,0.5000000000000001,0.5060608273474739,0,0,0,0.5121951219512195,0.0,0
80,6,95597710,21,20,20.0,0.0,0.2092100323323644,0.4288805662813471,0.2196705339489826,0.2092100323323645,0.0,1.0,0.5000000000000001,0.5060608273474739,0,0,0,0.5121951219512195,0.0,0
443,6,95550752,22,20,51.0,0.0,0.5337477616084068,0.4395569801480997,0.2302441324585285,0.2093128476895712,0.0,31.0,1.2093023255813955,4.67800394722285,0,0,0,1.238095238095238,0.0,0
80,6,95488268,21,20,20.0,0.0,0.2094498142955111,0.4293721193057978,0.2199223050102867,0.2094498142955112,0.0,1.0,0.5000000000000001,0.5060608273474739,0,0,0,0.5121951219512195,0.0,0
80,6,95441625,21,20,20.0,0.0,0.2095521739073491,0.4295819565100657,0.2200297826027164,0.2095521739073491,0.0,1.0,0.5000000000000001,0.5060608273474739,0,0,0,0.5121951219512195,0.0,0
80,6,95426030,21,20,20.0,0.0,0.2095864199736696,0.4296521609460228,0.2200657409723531,0.2095864199736696,0.0,1.0,0.5000000000000001,0.5060608273474739,0,0,0,0.5121951219512195,0.0,0
443,6,10752566,5,6,4.0,62.0,6.138069740748395,1.0230116234580655,0.4650052833900299,0.5580063400680358,0.0,31.0,5.583333333333332,11.88167675137825,0,0,0,6.090909090909091,1.0,0
80,6,116700629,28,28,904.0,1576.0,21.250956582247728,0.4798603099217228,0.2399301549608614,0.2399301549608614,0.0,788.0,43.52631578947366,164.8118088330659,0,0,0,44.30357142857143,1.0,0
443,6,40071270,9,10,8.0,62.0,1.746887483226761,0.4741551740186922,0.2245998192720121,0.2495553547466801,0.0,31.0,3.5500000000000003,9.400307945683704,0,0,0,3.736842105263158,1.0,0
443,6,95301325,22,20,73.0,0.0,0.7659914487023134,0.4407074088424269,0.2308467379650808,0.2098606708773461,0.0,53.0,1.7209302325581397,8.021772697434297,0,0,0,1.761904761904762,0.0,0
443,6,40022787,9,10,8.0,62.0,1.7490036363534602,0.4747295584387964,0.2248718961025877,0.2498576623362086,0.0,31.0,3.5500000000000003,9.400307945683704,0,0,0,3.736842105263158,1.0,0
443,6,119743393,37,42,17768.0,2628.0,170.33090084561076,0.6597441246716635,0.3089940837069817,0.3507500409646819,0.0,3036.0,254.9625000000001,668.8004270589078,0,0,0,258.18987341772146,1.0,0
443,6,100370681,42,64,2744.0,3088.0,58.10461722382854,1.0560852924769932,0.4184488894720162,0.637636403004977,0.0,175.0,56.14018691588786,58.63758994605519,0,1,0,56.66981132075472,1.0,0
443,6,40376804,11,12,10.0,62.0,1.7832020582906958,0.5696339908428611,0.2724336477944119,0.2972003430484493,0.0,31.0,3.0416666666666665,8.624934362279124,0,0,0,3.1739130434782608,1.0,0
443,6,40376613,11,12,10.0,62.0,1.783210493658792,0.5696366854743363,0.2724349365312043,0.297201748943132,0.0,31.0,3.0416666666666665,8.624934362279124,0,0,0,3.1739130434782608,1.0,0
80,6,95067565,21,20,20.0,0.0,0.2103766936704437,0.4312722220244097,0.2208955283539659,0.2103766936704437,0.0,1.0,0.5000000000000001,0.5060608273474739,0,0,0,0.5121951219512195,0.0,0
0,0,113714745,42,0,0.0,0.0,0.0,0.3693452419033257,0.3693452419033257,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
443,6,95909509,22,20,73.0,0.0,0.7611341227906818,0.4379127829754607,0.2293828863204794,0.2085298966549813,0.0,53.0,1.7209302325581397,8.021772697434297,0,0,0,1.761904761904762,0.0,0
443,6,39337035,11,10,10.0,62.0,1.830336221324256,0.533848064552908,0.2796347004800946,0.2542133640728133,0.0,31.0,3.3181818181818183,8.972902931213902,0,0,0,3.4761904761904763,0.0,0
443,6,114813861,35,40,17724.0,2628.0,177.26082741873822,0.653231233117402,0.3048412421214543,0.3483899909959477,0.0,3028.0,267.8026315789474,682.1419015568894,0,0,0,271.37333333333333,1.0,0
53,17,56824,2,2,64.0,256.0,5631.423342249754,70.39279177812192,35.19639588906096,35.19639588906096,32.0,128.0,70.4,52.58136552049595,0,0,0,88.0,1.0,0
53,17,104191,2,2,82.0,114.0,1881.1605608929756,38.39103185495868,19.195515927479327,19.195515927479327,41.0,57.0,47.4,8.763560920082657,0,0,0,59.25,1.0,0
443,6,58194,1,1,0.0,0.0,0.0,34.36780424098704,17.18390212049352,17.18390212049352,0.0,0.0,0.0,0.0,0,0,0,0.0,1.0,0
59147,6,107,1,2,0.0,0.0,0.0,28037.383177570093,9345.794392523365,18691.58878504673,0.0,0.0,0.0,0.0,0,0,0,0.0,2.0,0
0,0,114004796,14,0,0.0,0.0,0.0,0.1228018512484334,0.1228018512484334,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0
51500,6,132757,4,2,62.0,70.0,994.29785246729,45.19535693033136,30.130237953554243,15.06511897677712,0.0,35.0,23.28571428571429,16.007438746973087,0,1,0,27.16666666666667,0.0,0
53,17,65115,2,2,62.0,182.0,3747.2164631805263,61.42977808492666,30.714889042463327,30.714889042463327,31.0,91.0,55.0,32.863353450309965,0,0,0,68.75,1.0,0
53,17,20700,2,2,94.0,206.0,14492.753623188406,193.23671497584544,96.61835748792272,96.61835748792272,47.0,103.0,69.4,30.672463220289305,0,0,0,86.75,1.0,0
80,6,501734,13,10,1510.0,12318.0,27560.420461838345,45.84102333108778,25.910143621919183,19.930879709168607,0.0,3239.0,576.1666666666666,959.62500224178,0,0,1,601.2173913043479,0.0,0
53,17,55414,2,2,84.0,400.0,8734.254881437904,72.18392463998268,36.09196231999135,36.09196231999135,42.0,200.0,105.2,86.54016408581623,0,0,0,131.5,1.0,0
53,17,45922,2,2,94.0,206.0,6532.81651496015,87.10422019946867,43.552110099734335,43.552110099734335,47.0,103.0,69.4,30.672463220289305,0,0,0,86.75,1.0,0
53,17,83043,2,2,62.0,182.0,2938.236817070674,48.167816673289735,24.083908336644868,24.083908336644868,31.0,91.0,55.0,32.863353450309965,0,0,0,68.75,1.0,0
53,17,20729,2,2,88.0,120.0,10034.251531670609,192.9663756090501,96.48318780452507,96.48318780452507,44.0,60.0,50.4,8.763560920082657,0,0,0,63.0,1.0,0
53,17,20721,2,2,88.0,144.0,11196.370831523574,193.04087640557887,96.52043820278944,96.52043820278944,44.0,72.0,55.2,15.336231610144653,0,0,0,69.0,1.0,0
53,17,20648,2,2,74.0,186.0,12592.018597442851,193.72336303758237,96.86168151879116,96.86168151879116,37.0,93.0,59.4,30.672463220289305,0,0,0,74.25,1.0,0
53,17,20725,2,2,76.0,188.0,12738.238841978287,193.00361881785284,96.50180940892643,96.50180940892643,38.0,94.0,60.4,30.672463220289305,0,0,0,75.5,1.0,0
80,6,110012969,32,30,1208.0,1536.0,24.942513823074805,0.5635699187429438,0.2908747967705517,0.2726951219723922,0.0,384.0,43.55555555555557,115.22513415578491,0,0,1,44.25806451612904,0.0,0
53,17,20598,2,2,78.0,142.0,10680.64860666084,194.1936110301971,97.09680551509857,97.09680551509857,39.0,71.0,51.8,17.527121840165314,0,0,0,64.75,1.0,0
53,17,45083,2,2,74.0,186.0,5767.140607324269,88.72524011268106,44.36262005634053,44.36262005634053,37.0,93.0,59.4,30.672463220289305,0,0,0,74.25,1.0,0
53,17,47304,2,2,76.0,188.0,5580.923389142567,84.5594452900389,42.279722645019454,42.279722645019454,38.0,94.0,60.4,30.672463220289305,0,0,0,75.5,1.0,0
53,17,20621,2,2,78.0,190.0,12996.45991949954,193.9770137238737,96.98850686193686,96.98850686193686,39.0,95.0,61.4,30.672463220289305,0,0,0,76.75,1.0,0
53,17,55165,2,2,78.0,190.0,4858.15281428442,72.50974349678238,36.25487174839119,36.25487174839119,39.0,95.0,61.4,30.672463220289305,0,0,0,76.75,1.0,0
53,17,20556,2,2,86.0,194.0,13621.32710644094,194.59038723487055,97.29519361743527,97.29519361743527,43.0,97.0,64.6,29.57701810527897,0,0,0,80.75,1.0,0
53,17,20590,2,2,84.0,116.0,9713.453132588636,194.26906265177269,97.13453132588634,97.13453132588634,42.0,58.0,48.4,8.763560920082657,0,0,0,60.5,1.0,0
80,6,231615,7,2,818.0,0.0,3531.722902229994,38.85758694385079,30.22256762299505,8.635019320855731,0.0,409.0,81.8,172.4495417345156,0,0,1,90.88888888888889,0.0,0
